Category,keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Times,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/ZMiST_Ua/status/1505279630386814976,ZMiST_Ua,https://twitter.com/ZMiST_Ua,1647721605,2022-03-19 20:26:45,"😔Exhausted by the #russianwar, #Mariupol. Consequences of the bombing
This is a crime we will never forget. This blood is in the hands of the russians and they will pay for it. And we will rebuild our #Mariupol. All over the country, the world.
Video source: @guardian https://t.co/H4zlGeFlie",,https://video.twimg.com/ext_tw_video/1505279587315499008/pu/vid/640x352/AZvSsiJckn9WHT1w.mp4?tag=12;https://video.twimg.com/ext_tw_video/1505279587315499008/pu/vid/490x270/AXMDvNlGNSEbtOKW.mp4?tag=12;,17,7,2
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/SamiaSa48398514/status/1505617383020507158,SamiaSa48398514,https://twitter.com/SamiaSa48398514,1647802131,2022-03-20 18:48:51,"Stop financing the #Russianwar machine!!! Your taste and money is soaked in the blood of innocent #Ukrainian people. 
#Nestle 
#UkraineRussiaWar 
#StopPutinWarCrimesNow 
#StopRussia 
#StandWithUkraine 
#UkraineUnderAttack https://t.co/K8w9GWTRf2",https://pbs.twimg.com/media/FOUHB5aXMAQLgg0.jpg,,4,1,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504559138726203392,raging545,https://twitter.com/raging545,1647549826,2022-03-17 20:43:46,VIDEO of an abandoned Russian MTLB amoured vehicle &amp; an 2S3 Akatsiya self propelled gun near Kharkiv NE Ukraine. #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russian #Russianwar #RussiaWarCrimes #Putin #Russia https://t.co/aokcIdj0ol,,https://video.twimg.com/ext_tw_video/1504558714522583052/pu/vid/320x568/bvrHJ_rccB25C-QI.mp4?tag=12;,7,4,1
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/HechtJerry1/status/1506996570641870848,HechtJerry1,https://twitter.com/HechtJerry1,1648130955,2022-03-24 14:9:15,@METRO_News stop support #Russianwar#StandWithUkraine https://t.co/EGaZL2ynLV,https://pbs.twimg.com/media/FOntWmpX0AQmi_Y.jpg,,60,20,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/raging545/status/1504557019658964996,raging545,https://twitter.com/raging545,1647549321,2022-03-17 20:35:21,IMAGES of captured Russian armored vehicles that are now in service with Ukraine 25th Separate Airborne Brigade (Sicheslav) #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Putin #Russianlosses #Putin #PutinsWar https://t.co/nvtt9LHNzQ,https://pbs.twimg.com/media/FOFCXpHWYAMeMVF.jpg,,6,0,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/OlenaHalushka/status/1504712628781916160,OlenaHalushka,https://twitter.com/OlenaHalushka,1647586421,2022-03-18 6:53:41,"""It is putin, not russians"", right?

-&gt; 86,6% russians support potential attacks against other countries;
-&gt; 46% are *convinced* that russia should attack the EU;
-&gt; 75,5% think Poland will be next target, 41% - Baltic states, 39,6% - Bulgaria, Czechia, Slovakia &amp; even Hungary /1",,,17069,5552,699
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/mykkuzmin/status/1505656851492388869,mykkuzmin,https://twitter.com/mykkuzmin,1647811541,2022-03-20 21:25:41,"A 🧵,how the #Russian #government does not appreciate its own soldiers' lives. I will try to give you some fascinating facts that popped up over 3 weeks of the #russianwar against Ukraine. Let's begin with Russian soldiers. -&gt; https://t.co/IuXcSuZJpr",https://pbs.twimg.com/media/FOUcnvfX0AAv49X.jpg,,8,4,2
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/ukrainewartruth/status/1506612881533587459,ukrainewartruth,https://twitter.com/ukrainewartruth,1648039477,2022-03-23 12:44:37,"The Russian Ambassador to Poland confirmed the receipt by the country's Ministry of Foreign Affairs of a note demanding the expulsion of 45 diplomats from the country on charges of espionage, the Russian media reports. #Russianwar https://t.co/aRk0jSuNz5",,https://video.twimg.com/ext_tw_video/1506612857416396804/pu/vid/848x464/OGKb-OgfsKFiZThO.mp4?tag=12;https://video.twimg.com/ext_tw_video/1506612857416396804/pu/vid/492x270/Q2UGvthouVqCUtl7.mp4?tag=12;,3,0,1
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/simone1_z/status/1507145581025763328,simone1_z,https://twitter.com/simone1_z,1648166482,2022-03-25 0:1:22,@KyivIndependent I find no words anymore😢💔. #safeUkraine #StopRussia #russianwar #RussiaIsDisgrace #fckRussia #PutinHitler https://t.co/6b49iNEtHI,https://pbs.twimg.com/media/FOp06s-XIAE5WaF.jpg,,0,1,0
TopPost,russianwar,https://twitter.com/search?l=&q=russianwar,https://twitter.com/TuranAdam/status/1506792827535040512,TuranAdam,https://twitter.com/TuranAdam,1648082379,2022-03-24 0:39:39,".@ZelenskyyUa addressing in English calling intl community to support #Ukraine️, to defend freedom &amp; democracy, to stand up against #RussianWar.

 https://t.co/xp1hSNpZJh",,https://video.twimg.com/ext_tw_video/1506753690752929798/pu/vid/568x320/X_yXRnwhklU8g-mU.mp4?tag=12;https://video.twimg.com/ext_tw_video/1506753690752929798/pu/vid/478x270/_UeaoeuJHIc-UaAy.mp4?tag=12;,2,1,0
